track_name,artist_name,genre,beats_per_minute,energy,danceability,loudness__db__,liveness,valence_,length_,acousticness__,speechiness_,popularity
senorita,shawn mendes,canadian pop,117,55,76,-6,8,75,191,4,3,79
china,anuel aa,reggaeton flow,105,81,79,-4,8,61,302,8,9,92
boyfriend with social house,ariana grande,dance pop,190,80,40,-4,16,70,186,12,46,85
beautiful people feat khalid,ed sheeran,pop,93,65,64,-8,8,55,198,12,19,86
goodbyes feat young thug,post malone,dfw rap,150,65,58,-4,11,18,175,45,7,94
i dont care with justin bieber,ed sheeran,pop,102,68,80,-5,9,84,220,9,4,84
ransom,lil tecca,trap music,180,64,75,-6,7,23,131,2,29,92
how do you sleep,sam smith,pop,111,68,48,-5,8,35,202,15,9,90
old town road  remix,lil nas x,country rap,136,62,88,-6,11,64,157,5,10,87
bad guy,billie eilish,electropop,135,43,70,-11,10,56,194,33,38,95
callaita,bad bunny,reggaeton,176,62,61,-5,24,24,251,60,31,93
loco contigo feat j balvin  tyga,dj snake,dance pop,96,71,82,-4,15,38,185,28,7,86
someone you loved,lewis capaldi,pop,110,41,50,-6,11,45,182,75,3,88
otro trago  remix,sech,panamanian pop,176,79,73,-2,6,76,288,7,20,87
money in the grave drake ft rick ross,drake,canadian hip hop,101,50,83,-4,12,10,205,10,5,92
no guidance feat drake,chris brown,dance pop,93,45,70,-7,16,14,261,12,15,82
la cancion,j balvin,latin,176,65,75,-6,11,43,243,15,32,90
sunflower  spiderman into the spiderverse,post malone,dfw rap,90,48,76,-6,7,91,158,56,5,91
lalala,y2k,canadian hip hop,130,39,84,-8,14,50,161,18,8,88
truth hurts,lizzo,escape room,158,62,72,-3,12,41,173,11,11,91
piece of your heart,meduza,pop house,124,74,68,-7,7,63,153,4,3,91
panini,lil nas x,country rap,154,59,70,-6,12,48,115,34,8,91
no me conoce  remix,jhay cortez,reggaeton flow,92,79,81,-4,9,58,309,14,7,83
soltera  remix,lunay,latin,92,78,80,-4,44,80,266,36,4,91
bad guy with justin bieber,billie eilish,electropop,135,45,67,-11,12,68,195,25,30,89
if i cant have you,shawn mendes,canadian pop,124,82,69,-4,13,87,191,49,6,70
dance monkey,tones and i,australian pop,98,59,82,-6,18,54,210,69,10,83
its you,ali gatie,canadian hip hop,96,46,73,-7,19,40,213,37,3,89
con calma,daddy yankee,latin,94,86,74,-3,6,66,193,11,6,91
que pretendes,j balvin,latin,93,79,64,-4,36,94,222,3,25,89
takeaway,the chainsmokers,edm,85,51,29,-8,10,36,210,12,4,84
7 rings,ariana grande,dance pop,140,32,78,-11,9,33,179,59,33,89
0958333333333333,maluma,reggaeton,96,71,78,-5,9,68,176,22,28,89
the london feat j cole  travis scott,young thug,atl hip hop,98,59,80,-7,13,18,200,2,15,89
never really over,katy perry,dance pop,100,88,77,-5,32,39,224,19,6,89
summer days feat macklemore  patrick stump of fall out boy,martin garrix,big room,114,72,66,-7,14,32,164,18,6,89
otro trago,sech,panamanian pop,176,70,75,-5,11,62,226,14,34,91
antisocial with travis scott,ed sheeran,pop,152,82,72,-5,36,91,162,13,5,87
sucker,jonas brothers,boy band,138,73,84,-5,11,95,181,4,6,80
fuck im lonely with annemarie  from 13 reasons why season 3,lauv,dance pop,95,56,81,-6,6,68,199,48,7,78
higher love,kygo,edm,104,68,69,-7,10,40,228,2,3,88
you need to calm down,taylor swift,dance pop,85,68,77,-6,7,73,171,1,5,90
shallow,lady gaga,dance pop,96,39,57,-6,23,32,216,37,3,87
talk,khalid,pop,136,40,90,-9,6,35,198,5,13,84
con altura,rosalia,rb en espanol,98,69,88,-4,5,75,162,39,12,88
one thing right,marshmello,brostep,88,62,66,-2,58,44,182,7,5,88
te robare,nicky jam,latin,176,75,67,-4,8,80,202,24,6,88
happier,marshmello,brostep,100,79,69,-3,17,67,214,19,5,88
call you mine,the chainsmokers,edm,104,70,59,-6,41,50,218,23,3,88
cross me feat chance the rapper  pnb rock,ed sheeran,pop,95,79,75,-6,7,61,206,21,12,82
